time,swell_height,z,eastward_velocity,upward_velocity,northward_velocity,moles_of_oxygen_per_unit_mass,density,electrical_conductivity,pressure,practical_salinity,temperature,flubsct,cdomflo,mass_concentration_of_chlorophyll_a,downwelling_photosynthetic_photon_flux
2020-07-18T21:09:00Z,0.63,-408.0,0.1277427539,-0.1272917638,0.1900203201,160.1118098921,1029.2977646034,36.246114,411.2084,35.1333177682,7.70451,0.0013132537,0.8959,0.0,0.5893855701
2020-07-19T03:09:00Z,0.60,-180.0,-0.0518566166,-0.0087659586,0.1144294946,157.5045955144,1027.6395572223,41.4537458333,181.8691666667,35.5194412924,12.8608666667,0.0013812675,0.8432,0.0,0.1698939306
2020-07-19T09:09:00Z,0.53,-407.0,0.0843343572,-0.1702949587,0.2157783372,167.8070107317,1029.3432082044,35.8454673469,410.9689795918,35.1123106348,7.2943163265,0.0012454624,0.7905,0.0,-0.6690888484
2020-07-19T15:09:00Z,0.52,-102.0,0.1121753725,0.0298785435,0.0775143433,208.7909409519,1027.0063361983,40.761928,102.9036,35.0985650476,12.637144,0.0013719532,0.82212,0.00848,0.2537923485
2020-07-19T21:09:00Z,0.96,-409.0,0.2424249649,0.1376681576,-0.3172355542,176.1961967672,1029.3888754696,35.49675,412.2204166667,35.0946942509,6.9343625,0.0013809767,0.8432,0.0106,0.3796398503
2020-07-20T03:09:00Z,1.14,-239.0,0.1900947192,0.0486258068,-0.0286262054,127.3306675198,1028.1407780998,39.949006,240.851,35.4463876445,11.365804,8.253365E-4,0.82212,0.01696,-0.5432414166
2020-07-20T09:09:00Z,0.90,-408.0,0.1440140475,-0.1454674265,-0.0549141307,165.9910511695,1029.3297662376,35.970712,411.3502,35.1180098283,7.423462,0.0011325363,0.8432,0.0106,-0.4593431287
2020-07-20T15:09:00Z,0.78,-248.0,0.0906462647,-0.0188712729,-0.0361621558,127.7277962202,1028.1747060069,40.037168,250.28,35.4547989817,11.443736,7.939385E-4,0.8432,0.0212,-0.8788345682
2020-07-20T21:09:00Z,0.46,-409.0,0.0431061191,-0.1557663414,0.1301027057,168.2553848592,1029.3543341874,35.8209163265,412.6981632653,35.1113961541,7.2679081633,0.0013358133,0.6851,0.0212,1.0088768096
2020-07-21T03:09:00Z,0.45,-255.0,0.171484058,-0.0236118427,0.0359067172,126.1107091091,1028.2348009931,39.7153458333,256.8370833333,35.4209768881,11.1430416667,7.71333E-4,0.7378,0.0212,-0.4593431287
